美國國務卿相當於中華民國哪個職位？,內政部長,行政院長,外交部長,C
居里夫人出生於現今何處？,荷蘭,波蘭,斯洛伐克,B
居里夫人得過幾個諾貝爾獎？,1,2,3,B
居里夫人第一個諾貝爾獎是甚麼獎？,文學獎,物理獎,經濟獎,B
居里夫人第二個諾貝爾獎是甚麼獎？,化學獎,文學獎,物理獎,A
下列何者為居里夫人發現的元素？,鈾,鈽,鐳,C
下列何者為居里夫人以她祖國命名的元素？,鈽,鐳,釙,C
科學革命影響了哪個運動？,文藝復興,啟蒙運動,希臘化,B
啟蒙運動發跡於何國？,英國,美國,法國,A
啟蒙運動發揚於何國？,英國,美國,法國,C
下列誰是啟蒙運動中法國的著名學者？,洛克,哈伯瑪斯,盧梭,C
下列誰是啟蒙運動中英國的著名學者？,洛克,哈伯瑪斯,盧梭,A
君王論作者是何人？,洛克,馬基維利,盧梭,B
路易十四為何國國王？,英國,德國,法國,C
路易十六為何國國王？,英國,德國,法國,C
查理一世為何國國王？,英國,德國,法國,A
喬治三世為何國國王？,英國,德國,法國,A
路易十八為何國國王？,英國,德國,法國,C
路易十八為路易十六之？,兒,孫,弟,C
凡爾賽宮在哪？,中國,法國,德國,B
德皇威廉一世於何處登基？,凡爾賽宮,白金漢宮,西敏寺,A
德皇威廉一世於攻陷何國後登基？,英國,法國,德國,B
清教徒革命發生於何國？,英國,德國,法國,A
英國歷史上何黨反對詹姆士二世當王？,工黨,托利黨,輝格黨,C
英國歷史上何黨是保守政黨？,工黨,托利黨,輝格黨,B
內閣制首創於何國？,英國,法國,德國,A
約瑟夫二世為何國國王？,奧地利,匈牙利,澳大利亞,A
凱薩琳大帝為何國國王？,奧地利,匈牙利,俄國,C
彼得大帝為何國國王？,奧地利,俄國,匈牙利,B
腓特烈大帝為何國皇帝？,普魯士,奧地利,俄國,A
下列何國沒有參與七年戰爭？,英國,美國,荷蘭,C
現今美國建國一開始有幾國？,9,12,13,C
美國第一次大陸會議於何處召開？,費城,洛杉磯,波士頓,A
美國第二次大陸會議於何處召開？,費城,洛杉磯,波士頓,A
美國獨立宣言於何年出現？,1775,1776,1789,B
三權分立的制度首限於何國政府？,英國,美國,法國,B
美國憲法正式實施於何年？,1776,1789,1781,B
美國邦聯政府組建於何時？,1776,1781,1789,B
「美利堅合眾國」一詞最早出現於何年？,1777,1781,1789,A
哪一年「美利堅合眾國」一詞正式成為美國國名？,1776,1781,1789,B
美國第1任總統為？,喬治·華盛頓,約翰·亞當斯,托瑪斯·傑弗遜,A
美國第2任總統為？,喬治·華盛頓,約翰·亞當斯,托瑪斯·傑弗遜,B
美國第3任總統為？,喬治·華盛頓,約翰·亞當斯,托瑪斯·傑弗遜,C
牛頓為哪國人？,美國,英國,法國,B
下列哪個總統曾發表一個著名聲明，而該聲明被視為美國開始介入世界政局之濫觴？,詹姆斯·麥迪遜,詹姆斯·門羅,約翰·昆西·亞當斯,B
下列哪位總統任內爆發經濟大蕭條？,詹姆斯·麥迪遜,詹姆斯·門羅,赫伯特·胡佛,C
著名金融中心華爾街位於哪座城市？,洛杉磯,紐約,華盛頓,B
唐寧街是英國哪位政治人物官邸所在之處？,下議院議長,首相,上議院議長,B
