德國總理梅克爾是哪一個黨派的？,綠黨,社會民主黨,基督教民主聯盟,C
歐洲大河萊茵河並未流經哪個國家？,瑞士,奧地利,荷蘭,B
歐洲大河萊茵河並未流經哪個國家？,德國,法國,盧森堡,C
2014年，BMW在德國內排名第幾大企業？,二,五,七,B
下列哪個城市沒有「東大門」？,首爾,花蓮,北京,C
韓國現存最早的漢詩，是下列哪一首？,《黃鳥歌》,《試院作》,《杜鵑》,A
日本放棄殖民韓國後，解放小說的主題面向不包括下列哪個？,清算日帝罪惡,回歸故鄉,展開新生活,C
因為哪一位韓國總統的統治，韓國電影從繁榮走到蕭條？,文在寅,朴正熙,全斗煥,B
韓國每年舉辦的眾多電影節中，不包含下列哪一個？,釜山國際電影節,富山國際電影節,日舞影展,C
韓國電視臺呈現三強鼎立局面，其中不包含下列哪一個？,SBS,MBC,CNN,C
韓國著名電視劇《大長今》中，飾演主角徐長今的女演員叫？,朴信惠,李英愛,崔智友,B
韓國著名電視劇《冬季戀歌》中，取景的地點在？,全羅南道,江原道,京畿道,B
2012年，著名歌曲《江南style》是哪位歌手的單曲？,PSY,BIGBANG,少女時代,A
以下哪樣食物，並非韓國標誌性食物？,紫菜包飯,辣炒年糕,關東煮,C
以下哪樣食物，並非韓國標誌性食物？,大醬湯,味噌湯,參雞湯,B
以下哪樣食物，並非韓國標誌性食物？,泡菜,韓牛,塔塔醬,C
以下哪樣食物，並非韓國標誌性食物？,燒酒,蘋果西打,柚子茶,B
下列何者為韓國的「國技」？,跆拳道,空手道,柔道,A
韓國的三一節，是為了紀念哪一個事件而設立的？,三一運動,日本殖民統治結束,訓民正音發明,A
訓民正音（現稱韓文）是哪一位君主所創造？,睿宗大王,世祖大王,世宗大王,C
韓國總統中，以下哪位並沒有因為貪污而「入獄」？,全斗煥,盧泰愚,金泳三,C
哪一位韓國總統，是史上第一位因為罷免而下臺的？,李明博,朴槿惠,盧武鉉,B
韓國大學超一流大學「SKY」中，不包含下列哪一所大學？,慶熙大學,首爾大學,延世大學,A
韓國大學中著名的「高延戰」，不包含下咧哪所學校？,高麗大學,梨花女子大學,延世大學,B
以下何種新舊城市名配對正確？,汴京-西安,漢城-首爾,長安-南京,B
2017年韓國電影《我只是個計程車司機》是根據哪一個歷史事件所做？,六四天安門事件,青瓦臺事件,光州事件,C
2016年韓國電視劇《太陽的後裔》有到下列哪一個歐洲國家取景？,希臘,土耳其,立陶宛,A
韓國著名演員李鐘碩，在下列哪部電視劇並未擔任主角？,舉重妖精金福珠,W-兩個世界,學校2013,A
以下哪一部電視劇，並非描述清朝康熙、雍正時期的宮廷生活？,後宮甄嬛傳,步步驚心,那年花開月正圓,C
傳說中，聖誕老人住在哪一個國家？,冰島,芬蘭,挪威,B
下列何者並非芬蘭特色？,Nokia,火炕,桑拿,B
下列哪一個建築並非在北京市內？,豫園,天壇,頤和園,A
下列哪一個建築並非是為了2008年北京奧運會所建？,鳥巢,水立方,中國尊,C
下列哪項是著名京菜之一？,北京烤鴨,生煎饅頭,鍋包肉,A
下列何者是北京市內的世界遺產？,爨底下村,石庫門,十三陵,C
上海飲食文化中的「四大金剛」，不包含下列何者？,油條,餛飩,豆漿,B
日本的櫻前線，緯度越高，櫻花開花時間越__？,早,一樣,晚,C
日本的楓前線，緯度越高，楓葉出現時間越__？,早,一樣,晚,A
日本著名漫畫《名偵探柯南》作者是誰？,青山岡昌,冨樫義博,岸本齊史,A
日本的女兒節在每年的幾月幾號？,三月三日,四月四日,七月七日,A
