請問狄鶯與孫鵬的兒子近日為何在美國遭逮捕？,恐嚇開槍掃射學校,酒後駕車而撞傷路人,涉嫌殺害同班同學,A
請問轉戰韓職NC恐龍隊的臺灣投手是誰？,王維琳,王維中,陳維琳,B
請問哪家公司的老闆娘帶頭挺花蓮觀光？,臺積電,臺達電,聯電,A
哪位臺商因暗助金正恩而遭發布全球旅行禁令？,張永方,張永和,張永源,C
中國首座太空站名字是？,拿破崙一號,天宮一號,禮炮一號,B
麥當勞最近停賣甚麼漢堡？,板烤雞腿堡,雙層牛肉吉士堡,大麥克,A
以下哪間公司個資遭盜取兩萬多筆？,1111人力銀行,104人力銀行,518人力銀行,A
哪個國家誤發布導彈襲擊警報而引發民眾恐慌？,美國,關島,夏威夷,C
今年冬季奧運在何處舉行？,北韓,南韓,加拿大,B
英國物理學家霍金於3/14過世，享年幾歲？,75,76,77,B
哪裡的迪士尼停止施放煙火？,香港,美國加州,日本東京,A
被囚禁的諾貝爾和平獎得主劉曉波9年前因為什麼罪名被判囚？,煽動顛覆國家政權罪,反革命宣傳煽動罪,煽動分裂國家罪,A
肯尼亞於去年實施一項商品禁令，任何人出售、生產或使用該產品均屬違法。該商品為？,塑膠袋,吸管,膠帶,C
澳洲眾議院去年通過同性婚姻合法化，成為全球第幾個接受同性婚姻的國家？,26,27,28,A
中港臺共有10名女性入選2017富比世全球百大最有權勢女性，請問華人中誰排名最高？,習近平的妻子彭麗媛,臺灣總統蔡英文,阿里巴巴共同創辦人彭蕾,B
哪國的企業已掌握全球最大鈷生產國剛果的鈷礦開採與銷售網絡？,美國,法國,中國,C
下列何者非臺北米其林指南的二星餐廳？,臺北喜來登大飯店-請客廳,祥雲龍吟,君品酒店-頤宮中餐廳,C
下列何者為2017世大運奪牌數最多的國家？,韓國,臺灣,日本,C
臺灣首顆自主研製的高解析遙測衛星名字是？,福衛五號,福爾摩沙三號,中華二號,A
法國歷年來最年輕的總統是誰？,歐蘭德,馬克宏,薩科吉,B
2017年有一個勒索病毒肆虐全球，他的名字是？,wanna cry,backdoor,Trojan,A
勒索病毒Wanna Cry要求受害者支付何種貨幣作為贖款？,比特幣,美金,英鎊,A
目前南韓總統是誰？,安哲秀,朴槿惠,文在寅,C
沙烏地阿拉伯宣布與卡達斷交，原因是？,指控卡達資助恐怖主義,因石油利益紛爭,因卡達國王發言不當造成隔閡,A
第54屆金馬獎最佳劇情片由下列哪部電影奪得？,血觀音,大佛普拉斯,相愛相親,A
國民黨新北市長初選結果由誰獲勝？,侯友宜,周錫瑋,金介壽,A
南韓前總統朴槿惠因貪汙醜聞被判刑幾年？,22,23,24,C
南韓前總統朴槿惠因貪汙醜聞被判罰多少罰金？,180億韓圜,190億韓圜,200億韓圜,A
美國基於哪條法律將持續對臺販售防衛性武器？,臺灣關係法,臺灣安全加強法,中美共同防禦條約,A
愛奇藝選秀節目《偶像練習生》中的全民製作人代表是誰？,張藝興,李榮浩,王嘉爾,A
愛奇藝選秀節目《偶像練習生》中的音樂導師是誰？,張藝興,李榮浩,王嘉爾,B
愛奇藝選秀節目《偶像練習生》中的RAP導師是誰？,張藝興,李榮浩,王嘉爾,C
愛奇藝選秀節目《偶像練習生》中有幾位臺灣人參賽？,4,5,6,C
愛奇藝選秀節目《偶像練習生》中奪冠呼聲最高的臺灣人是誰？,陳立農,貝汯璘,邱治諧,A
愛奇藝選秀節目《偶像練習生》因內容與韓國哪個節目雷同而引起關注？,PRODUCE 101,SIXTEEN,K-POP STAR,A
哪間航空公司因乘客感染麻疹造成機上空服員也中標？,華航,香草,虎航,C
虎航因機上乘客感染何種疾病造成機上空服員也中標？,登革熱,麻疹,A型流感,B
臺灣以甚麼名字作為觀察員身分出席世界衛生大會？,中華臺北,臺灣,中華民國,A
臺灣自西元幾年起以觀察員身分出席世界衛生大會？,2007,2008,2009,C
臺灣於西元幾年首次未受世界衛生大會邀請參加出席？,2016,2017,2018,B
臺灣於2017年首次未受邀請參加聯合國哪個重要會議？,世界衛生大會,聯合國網路治理論壇,世界健康大會,A
根據推算，若美國退出巴黎協定，全球氣溫在2100年會較工業時代上升幾度C？,3,3.1,3.2,C
根據推算，若各國遵守巴黎協定，全球氣溫在2100年會較工業時代上升幾度C？,2.8,2.9,3,A
下列何者非美國總統川普上任後退出的協定？,巴黎氣候協定,跨太平洋戰略經濟夥伴關係協議,北美自由貿易協定,C
香港第五屆行政長官當選者為誰？,林鄭月娥,曾俊華,梁振音,A
下列何者為香港首任女特首？,林鄭月娥,葉劉淑儀,劉小麗,A
美國歌手Ariana Grande在英國何處舉辦影唱會時遭遇恐攻？,倫敦,曼徹斯特,伯明罕,B
聯合國安全理事會對於北韓核試所做出的裁決不包括下列何者？,減少石油供給,凍結北韓國家資產,禁制北韓出口貨品,B
近日總統府宣布將由何人接任總統府秘書長？,陳菊,賴清德,柯文哲,A
