泰北「長頸族」頸上的頸環增加是依據下列何者?,身高,體重,年紀,C
「大馬」通常是指哪個國家?,馬來西亞,馬爾地夫,馬其頓,A
臺灣「定時休假」的實施是從甚麼時候開始的?,清領時期,日治時期,明鄭時期,B
臺灣從什麼時候開始有「星期制」?,荷據時期,清領時期,日治時期,C
「媽祖」的本名為?,林默默,林娘默,林默娘,C
「跆拳道」最高色帶的顏色為?,紅色,黑色,黃色,B
「和服」為什麼時期傳入日本?,宋朝,唐朝,明朝,B
音樂家「貝多芬」為哪國人?,法國,德國,波蘭,B
踢踏舞鞋最一開始是用何種材料製成? ,金屬,木頭,皮革,B
英文俚語「a blank slate」是什麼意思?,新的開始,空白的過去,可笑的現在,A
英文俚語「 save for a rainy day」是什麼意思?,狐假虎威,克紹箕裘,未雨綢繆,C
英文俚語「 when pigs fly」是什麼意思?,不可能,減肥,飛機失事,A
英文俚語「A bad penny always comes back」是什麼意思?,惡有惡報,一分錢一分貨,貪小便宜貪小便宜,A
英文俚語「Absence makes the heart grow fonder」是什麼意思?,貌合神離,小別勝新婚,鶼鰈情深,B
英文俚語「After a storm comes a calm」是什麼意思?,巫風雲雨,暴風雨前的寧靜,否極泰來,C
英文俚語「You cannot sell the cow and drink the milk.」是什麼意思?,魚與熊掌不可兼得,很窮,不可以一心二用,A
英文俚語「What goes around comes around.」是什麼意思?,冤冤相報何時了,風水輪流轉,乾坤大挪移,B
英文俚語「To teach a fish how to swim」是什麼意思?,班門弄斧,我超強,凌波微步,A
英文俚語「There is no smoke without fire」是什麼意思?,靜海造不出好水手,無風不起浪,心急如焚,B
英文俚語「 black sheep」是什麼意思?,害群之馬,領頭羊,松阪豬,A
英文俚語「The leopard cannot change his spots」是什麼意思?,調虎離山之計,遠水救不了近火,江山易改本性難移,C
英文俚語「Take the rough with the smooth.」是什麼意思?,含辛茹苦,逆來順受,仰天長嘯,B
英文俚語「Still waters are the deepest」是什麼意思?,遠水救不了近火,深藏不露,無風不起浪,B
英文俚語「Some people cannot see the wood for the trees」是什麼意思?,捨本逐末,十年樹木百年樹人,去去武器走,A
英文俚語「Seeing is believing」是什麼意思?,我來我見我征服,目不轉睛,眼見為憑,C
英文俚語「Money talks」是什麼意思?,金錢無能,金錢萬能,金錢不是一切,B
英文俚語「Live and learn.」是什麼意思?,活到老學到老,事實勝於雄辯,現場直播與學習,A
英文俚語「Few words are best」是什麼意思?,事實勝於雄辯,言多必失,眼見為憑,B
英文俚語「Every dog has his day」是什麼意思?,風水輪流轉,助人為快樂之本,有錢能使鬼推磨,A
英文俚語「Even Homer sometimes nods」是什麼意思?,智者千慮必有一失,慮者千失必有一智,失者千慮必有多失,A
英文俚語「Don't judge a book by its cover」是什麼意思?,要以貌取人,勿以貌取人,勿以食為天,B
英文俚語「Do in Rome as the Romans do」是什麼意思?,入境隨俗,助紂為虐,忠言逆耳,A
英文俚語「Bitter pills may have blessed effects」是什麼意思?,入境隨俗,忠言逆耳,精忠報國,B
英文俚語「Beauty is in the eye of the beholder」是什麼意思?,貌美如花,自古紅顏多薄命,情人眼裡出西施,C
英文俚語「A tree is known by its fruit」是什麼意思?,十年樹木百年樹人,觀其言，知其行,情人眼裡出西施,B
英文俚語「All one's geese are swans.」是什麼意思?,自吹自擂,分手擂台,妄自菲薄,A
英文俚語「All is fair in war」是什麼意思?,情場如戰場,兵不厭詐,情人眼裡西施,B
英文俚語「All good things come to and end」是什麼意思?,天下有不散的筵席,天下無會散的筵席,天下無不散的筵席,C
英文俚語「My hands are tied」是什麼意思?,我能做的有限,我可以幫忙你,我對你無話可說,A
英文俚語「 I am green」是什麼意思?,我被劈腿了,我分手了,我是新手,C
英文俚語「blue stocking」是什麼意思?,女學者,男學者,襪子工廠,A
英文俚語「It’s a long shot」是什麼意思?,這是很棒的射擊,這不太可能發生,這一切真是糟透了,B
英文俚語「Don’t jinx it 」是什麼意思?,話別說得太早,不要看輕自己,別想一步登天,A
英文俚語「You nailed it」是什麼意思?,你做不到,你該剪指甲了,你表現得太好了,C
英文俚語「You never know」是什麼意思?,這是當然的,這可說不定,你真是討人厭,B
英文俚語「It’s on the house.」是什麼意思?,由店家招待、免費,在頂樓,狗眼看人低,A
諺語「食人一口，還人一斗」是什麼意思?,受人恩惠要加倍回報,被侵犯了要以牙還牙,被當了要找教授要分數,A
諺語「戲棚跤，倚久的人的」是什麼意思?,人生如戲,有恆心就會成功,繁華如夢一場,B
諺語「艱苦頭，快活尾」是什麼意思?,先苦後甘,妄自菲薄,夜郎自大,A
諺語「工夫到厝，要食就有」是什麼意思?,要先買房再買車,勉人要有一技之長,有專長才能買房,B
諺語「甘蔗無雙頭甜」是什麼意思?,人生是十全十美的,做事沒辦法兩全其美,魚與熊掌可以兼得,B
諺語「有時星光，有時月光」是什麼意思?,風水輪流轉,舉棋不定游移不決,繁華如夢一場,A
諺語「六月芥菜—假有心」是什麼意思?,真心誠意,全神貫注,虛情假意,C
諺語「一句話三斤六重」是什麼意思?,眼見為憑,天助自助,一言九鼎,C
諺語「大隻雞慢啼」是什麼意思?,虛張聲勢,忠言逆耳,大器晚成,C
日本在聖誕節平安夜時盛行吃什麼?,麥當勞,肯德基,摩斯漢堡,B
在東京，搭乘手扶梯時要靠哪側?,左側,右側,沒有特別規定,A
在大阪，搭乘手扶梯時要靠哪側?,左側,右側,沒有特別規定,B
臺灣除了北一女外，還有哪間高中的制服是深綠色的?,臺南女中,高雄女中,臺中女中,C
下列高中的制服何者不是白衣黑裙?,臺南女中,高雄女中,武陵高中,C
下列高中的制服何者不是卡其色?,建國中學,臺中一中,臺南一中,B
下下列何者不是韓國著名SKY大學其中之一?,首爾大學,梨花女子大學,高麗大學,B
「竹園崗」為下列何者的別稱?,臺南一中,雄中,臺中女中,A
「梅竹賽」為哪兩間大學間的比賽?,清大、成大,清大、交大,交大、成大,B
「音樂之父巴哈」為現今哪個國家的人?,德國,奧地利,法國,A
「音樂神童莫扎特」為現今哪個國家的人?,英國,瑞士,奧地利,C
世界上哪一座雕像擁有自己的衣櫃?,日本大隈重信像,比利時尿尿小童像,臺大傅鐘,B
被形容為「東方歌劇」的是下列何者?,歌仔戲,皮影戲,布袋戲,A
象徵法國的動物是?,公雞,母雞,天鵝,A
素有「英國鐵娘子」之稱的是?,伊莉莎白二世,黛安娜王妃,柴契爾夫人,C
華爾街Wall Street的牆最初建造的用途是?,管控非洲奴隸,使金融交易保密,進行國家機密商談,A
澳洲雪梨歌劇院的前身是?,米其林三星餐廳,販毒犯監獄,軍事堡壘,C
霍夫曼所設計、紅極一時的黃色小鴨其目的為?,祈求世界和平,促進觀光發展,希望改進醫療現況,A
在韓國的習俗中，送蘋果是代表?,感謝,道歉,示愛,B
世界上第一個使用郵票及郵筒的國家為?,中國,英國,義大利,B
美國國旗上的星星代表美國現金州數，而13條線條則是代表?,獨立戰爭時的13州,基督教中不祥數字13,獨立宣言中的十三條宣言,A
我們生活當中重要的交通號誌紅綠燈，其中「紅、綠」的由來為何？ ,發明者的喜好,女性已婚未婚的衣服顏色,餐廳出餐與否的代表顏色,B
英國旅遊網站票選全球十大怪異食物，下列哪一個臺灣小吃曾登上第一名？,豬血糕,臭豆腐,麻辣鴨血,A
巧克力是哪一國人發明的？,古巴,祕魯,墨西哥,C
世界環境日是哪一天？,3月8號,6月5號,9月9號,B
很多公共場所都禁止吸煙，請問下列何者為世界唯一全國禁菸的國家？,不丹,祕魯,尼泊爾,A
澎湖四面環海卻經常發生乾旱，嚴重時還需自臺灣本島運民生用水的原因為？ ,地形平坦,發展觀光消耗量大,澎湖人均飲水量極高,A
美人魚銅像為下列何者的地標？,新加坡,哥本哈根,長灘島,B
因湖水呈現粉紅色，所以得名「玫瑰湖」，若想看到的話應該到哪裡看？,日本北海道,臺灣阿里山,西非塞內加爾,C
臺灣哪個離島因擁有貝殼沙沙灘，而有「威尼斯沙灘」之稱？,綠島,澎湖,小琉球,C
早期先祖移民來臺灣必須勇闖「黑水溝」，請問是指哪個海域？,臺灣海峽,太平洋,巴士海峽,A
下列何者為客家人特有的戲劇表演？,畫眉戲,曬書戲,採茶戲,C
下列音樂家何者被稱為「鋼琴詩人」？,韓德爾,孟德爾頌,蕭邦,C
世界知名圓舞曲「藍色多瑙河」，請問作者是下列哪位音樂家？,孟德爾頌,小約翰史特勞斯,李斯特,B
貝多芬的哪一首交響曲有著「命運交響曲」的別稱？ ,第五號交響曲,第一號交響曲,第三號交響曲,A
臺灣原住民陸續從九族增設到十六族，請問第十族是哪一族？,太魯閣族,邵族,噶瑪蘭族,B
臺灣原住民陸續從九族增設到十六族，請問第十一族是哪一族？,邵族,噶瑪蘭族,太魯閣族,B
臺灣原住民陸續從九族增設到十六族，請問第十二族是哪一族？,撒奇萊雅族,噶瑪蘭族,太魯閣族,C
臺灣原住民陸續從九族增設到十六族，請問第十三族是哪一族？,賽德克族,撒奇萊雅族,拉阿魯哇族,B
臺灣原住民陸續從九族增設到十六族，請問第十四族是哪一族？,撒奇萊雅族,賽德克族,拉阿魯哇族,B
臺灣原住民陸續從九族增設到十六族，請問第十五族是哪一族？,拉阿魯哇族,撒奇萊雅族,卡那卡那富族,A
臺灣原住民陸續從九族增設到十六族，請問第十六族是哪一族？,卡那卡那富族,拉阿魯哇族,賽德克族,A
努比亞遺址遷移保存事件推動了「世界遺產」制度的形成，這個遺址位於那個國家？,伊朗,沙烏地阿拉伯,埃及,C
請問下面哪一個世界級的歷史文化名城，其所在的時區比苗栗還早？,格林威治,札幌,孟買,B
聯合國教科文組織（UNESCO）於西元幾年通過「保護非物質文化遺產公約」？,2003,1993,1999,A
傳統民俗信仰中，下列哪種金紙是祭拜土地公時常用的，故又稱「土地公金」？,天金,壽金,福金,C
戰後苗栗的磚瓦業蓬勃發展，其中那個地區被譽為臺灣三大瓦窯中心？,竹南鎮,三義鄉,苑裡鎮,A
何者並非臺灣車站分等中的一等車站,花蓮,基隆,潮州,A
以下哪位為第一位以唯一獲得者身份兩次在不同領域獲得諾貝爾獎的人？,皮耶 居禮,約翰 巴丁,萊納斯 鮑林,C
以下何者並非父/母及子/女皆獲得諾貝爾獎的家庭？,居禮母女,湯木森父子,丁伯根父子,C
以下何者為諾貝爾獎最年老得主？,Leonid Hurwicz,Raymond Davis Jr.,William Henry Bragg,A
以下何者為諾貝爾獎最年輕得主？,Sir William Lawrence Bragg,Malala Yousafzai,Francis Peyton Rous,B
以下何者為史上唯一一位或的奧運獎牌與諾貝爾獎的偉人？,菲利普約翰·諾爾 - 貝克,卡爾 米勒,卡爾 路易斯,A
以下哪位諾貝爾獎得主為其逝世時才獲得？,Erik Axel Karlfeldt,Andre Geim,Erwin Schrödinger,A
以下哪位諾貝爾獎得主為其逝世時才獲得？,Wolfgang Pauli,Dag Hjalmar,Max Born,B
以下哪位諾貝爾獎得主為其逝世時才獲得？,Léon Nicolas Brillouin,Werner Heisenberg,Ralph Marvin Steinman,C
深身受眾多台大生喜愛的休閒活動–麻將起源眾說紛紜，請問最早可追溯至何時？,先秦時期,明朝,民國初年,A
